Nitrogen,Temperature,Label
61.69,12.6,0
59.948,7.2,0
64.301,20.1,0
62.048,18.5,1
64.32,19.1,1
61.69,16.4,0
65.531,23.1,0
64.12,9.3,1
63.169,21.5,0
58.0,12.4,0
60.792,9.4,1
61.24,13.0,0
63.201,15.3,1
60.073,11.6,0
61.541,8.7,1
63.04,23.9,1
63.729,15.3,1
60.662,10.2,1
61.962,13.2,0
64.32,16.1,0
63.838,14.0,1
61.533,11.4,0
68.0,24.9,0
62.355,11.2,0
63.84,12.9,1
62.414,8.5,0
64.301,21.3,0
57.0,13.5,0
65.59,17.9,1
61.591,21.3,1
64.522,14.3,0
64.301,12.7,0
63.643,9.4,1
62.061,12.8,1
61.396,11.9,1
62.942,8.3,1
65.59,13.2,1
61.396,14.4,0
60.629,5.0,1
65.114,14.3,1
64.953,10.4,1
53.106,12.3,0
62.942,10.7,1
64.849,20.8,1
62.622,22.1,1
61.863,12.9,1
65.59,17.9,1
62.443,26.2,0
63.0,10.1,0
62.414,10.1,1
61.757,15.9,0
63.155,11.8,0
68.82,23.8,1
59.797,18.9,0
61.866,12.0,0
62.894,9.6,0
59.316,11.5,0
64.411,18.3,1
57.086,15.4,0
61.396,17.2,1
