Clay,Silt,Label
7.6,80.5,0
13.3,75.5,0
0.0,8.762375,1
3.3,32.9,1
14.4,67.4,0
38.4,60.7,0
23.19,49.73,0
0.0,0.1,1
11.0,62.1,1
7.3,67.1,1
13.6,75.3,0
0.0,0.0,1
25.6,25.7,0
20.44,73.3,0
15.8,68.6,1
0.0,0.0,1
32.15822,67.57375,1
0.0,0.7485205,1
1.305204,45.00083,1
0.8155891,12.17296,1
27.81,62.96,0
15.72,63.49,0
4.2,8.9,0
1.0,10.6,1
12.6,73.9,0
17.1,70.0,0
0.0,0.0,1
18.14632,78.02075,1
24.1,68.03,0
0.0,8.0,1
26.25,66.64,0
4.9,62.2,1
0.0,10.9,1
0.0,0.0,1
6.9,32.9,0
9.8,62.5,1
0.0,0.0,1
2.1,29.0,1
0.0,0.0,1
7.1,78.1,0
17.41,74.41,0
13.4,57.2,1
19.5,47.7,0
7.8,81.4,0
1.2,7.7,1
19.59,50.84,0
25.3,65.4,0
16.0,74.6,0
35.01,61.18,0
0.0,0.0,1
27.4,50.9,0
21.6,50.9,0
5.8,37.6,1
19.6,54.9,0
0.4904534,56.27537,1
40.3956,55.65324,0
11.8,77.4,0
10.7,74.0,1
34.28,60.95,0
1.431471,18.82022,1
