Cement,Water,Label
181.9,185.7,0
133.0,192.0,0
153.6,220.1,0
139.6,192.0,0
148.5,192.7,0
122.6,203.5,0
218.9,158.5,1
313.3,175.5,1
439.0,186.0,1
108.3,203.5,0
236.0,194.0,0
251.4,188.5,1
307.0,193.0,1
202.0,206.0,0
155.0,193.0,0
312.7,178.1,0
255.0,192.0,0
154.8,193.3,0
149.0,182.9,0
212.0,159.0,1
540.0,173.0,1
397.0,167.0,1
212.1,180.3,0
173.0,192.0,1
246.8,143.3,1
250.0,191.8,1
374.0,170.1,1
331.0,192.0,1
164.6,181.6,0
374.0,170.1,1
203.5,185.7,0
387.0,157.0,1
141.3,203.5,1
350.0,203.0,0
528.0,185.0,1
194.7,165.6,0
122.6,203.5,1
350.0,203.0,0
225.0,181.0,0
202.0,206.0,0
323.7,183.8,1
475.0,228.0,1
262.0,195.0,1
148.0,171.0,0
159.0,175.0,0
323.7,183.8,1
102.0,192.0,0
387.0,157.0,1
313.3,175.5,1
145.4,201.7,0
190.3,166.6,1
288.0,192.0,1
183.9,203.5,0
237.5,228.0,1
194.7,165.6,1
500.0,200.0,1
154.8,193.3,0
150.0,174.0,1
190.7,162.1,0
155.0,193.0,0
